# file...... main_regulator_DR0.csv
# date...... Fri Nov 18 16:46:48 2016
# user...... mcde601
# host...... (null)
# target.... regulator 4
# trigger... (none)
# interval.. 4
# limit..... 0
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2000-09-01 12:00:00 PDT,+4.25274e+06,+1.43169e+06,+3.95574e+06,+1.41739e+06,+3.76423e+06,+902821
2000-09-01 12:00:04 PDT,+4.25273e+06,+1.43181e+06,+3.95573e+06,+1.41733e+06,+3.76424e+06,+902807
2000-09-01 12:00:08 PDT,+4.2528e+06,+1.43183e+06,+3.95568e+06,+1.41733e+06,+3.76424e+06,+902794
2000-09-01 12:00:12 PDT,+4.2528e+06,+1.43188e+06,+3.95567e+06,+1.4173e+06,+3.76425e+06,+902789
2000-09-01 12:00:16 PDT,+4.25282e+06,+1.43189e+06,+3.95566e+06,+1.4173e+06,+3.76424e+06,+902783
2000-09-01 12:00:20 PDT,+4.25283e+06,+1.43191e+06,+3.95565e+06,+1.41729e+06,+3.76425e+06,+902781
2000-09-01 12:00:24 PDT,+4.25283e+06,+1.43191e+06,+3.95565e+06,+1.41729e+06,+3.76425e+06,+902779
2000-09-01 12:00:28 PDT,+4.25284e+06,+1.43192e+06,+3.95565e+06,+1.41728e+06,+3.76425e+06,+902779
2000-09-01 12:00:32 PDT,+4.25284e+06,+1.43192e+06,+3.95564e+06,+1.41728e+06,+3.76425e+06,+902778
2000-09-01 12:00:36 PDT,+4.25284e+06,+1.43192e+06,+3.95564e+06,+1.41728e+06,+3.76425e+06,+902778
2000-09-01 12:00:40 PDT,+4.25284e+06,+1.43192e+06,+3.95564e+06,+1.41728e+06,+3.76425e+06,+902777
2000-09-01 12:00:44 PDT,+4.25284e+06,+1.43192e+06,+3.95564e+06,+1.41728e+06,+3.76425e+06,+902777
2000-09-01 12:00:48 PDT,+4.25284e+06,+1.43192e+06,+3.95564e+06,+1.41728e+06,+3.76425e+06,+902777
2000-09-01 12:00:52 PDT,+4.25284e+06,+1.43192e+06,+3.95564e+06,+1.41728e+06,+3.76425e+06,+902777
2000-09-01 12:00:56 PDT,+4.25284e+06,+1.43192e+06,+3.95564e+06,+1.41728e+06,+3.76425e+06,+902777
