# file...... regulator_taps_DR0.csv
# date...... Fri Nov 18 16:46:48 2016
# user...... mcde601
# host...... (null)
# target.... regulator 4
# trigger... (none)
# interval.. 4
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,VREG2:tap_A,VREG2:tap_B,VREG2:tap_C,VREG3:tap_A,VREG3:tap_B,VREG3:tap_C,VREG4:tap_A,VREG4:tap_B,VREG4:tap_C
2000-09-01 12:00:00 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:04 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:08 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:12 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:16 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:20 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:24 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:28 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:32 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:36 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:40 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:44 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:48 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:52 PDT,7,7,7,7,7,7,7,7,7,7,7,7
2000-09-01 12:00:56 PDT,7,7,7,7,7,7,7,7,7,7,7,7
