IdentifiedObject.name,IdentifiedObject.mRID,WireInfo.radius,WireInfo.gmr,WireInfo.rDC20,WireInfo.rAC25,WireInfo.rAC50,WireInfo.rAC75,WireInfo.ratedCurrent,WireInfo.material,WireInfo.insulated,WireInfo.insulationMaterial,WireInfo.insulationThickness,WireInfo.coreRadius,WireInfo.strandCount,WireInfo.coreStrandCount,CableInfo.diameterOverCore,CableInfo.diameterOverJacket,CableInfo.diameterOverInsulation,CableInfo.diameterOverScreen,CableInfo.sheathAsNeutral,ConcentricNeutralCableInfo.diameterOverNeutral,ConcentricNeutralCableInfo.neutralStrandCount,ConcentricNeutralCableInfo.neutralStrandGmr,ConcentricNeutralCableInfo.neutralStrandRadius,ConcentricNeutralCableInfo.neutralStrandRDC20
1,_3842cac4-b9a0-8223-0dcc-509a6f75849b,0,0,0,0,0,0,0,aluminum,FALSE,ethylenePropyleneRubber,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
1/0CN15,_e1d4f44f-cfe0-99d3-e9f0-82c148f0c7b1,0.004295,0.00338328,0.000636905,0.000636905,0.000636905,0.000636905,161,aluminum,FALSE,ethylenePropyleneRubber,0.003505,0.004295,0,0,0.00859,0.02752,0.01869,0.0257,TRUE,0.02752,13,6.40E-04,0.00081407,0.00863706
1/0CN25,_33a97fc0-3030-0816-50c8-64a2ac264412,0.004295,0.00338328,0.000636905,0.000636905,0.000636905,0.000636905,161,aluminum,FALSE,ethylenePropyleneRubber,0.000445,0.004295,0,0,0.00859,0.03194,0.02311,0.024,TRUE,0.03095,13,6.40E-04,0.00081407,0.00863706
1/0CN35,_6f5afffe-e53c-5dd8-0564-83b787d9feae,0.004295,0.00338328,0.000636905,0.000636905,0.000636905,0.000636905,161,aluminum,FALSE,ethylenePropyleneRubber,0.001675,0.004295,0,0,0.00859,0.03794,0.02764,0.03099,TRUE,0.03794,13,6.40E-04,0.00081407,0.00863706
1000,_70bab7a9-3b78-7e61-9998-dc4dd82eb3c5,0,0,0,0,0,0,0,aluminum,FALSE,ethylenePropyleneRubber,0,0,0,0,0,0,0,0,TRUE,0,0,0,0.00081407,0
1000CN25,_6839a628-85c7-46ed-6249-39921721a238,0.0141859,0.00078232,0.000169013,0.000169013,0.000169013,0.000169013,610,aluminum,FALSE,ethylenePropyleneRubber,0.0016,0.0142,0,0,0.0284,0.05606,0.04341,0.04661,TRUE,0.05606,14,1.01E-03,0.00081407,0.005413386
1000CU,_dacd8ba1-1db7-d4da-2cbf-017e2b26eaea,0,0,0,0,0,0,0,aluminum,FALSE,ethylenePropyleneRubber,0,0,0,0,0,0,0,0,TRUE,0,0,0,0.00081407,0
1CN25,_ea080108-edeb-eac9-0c2f-ef9762fa6f60,3.60E-03,0.00256032,0.000997922,0.000997922,0.000997922,0.000997922,125,aluminum,FALSE,ethylenePropyleneRubber,0.00094,0.003795,0,0,0.00759,0.03095,0.02212,0.024,TRUE,0.03095,10,6.40E-04,0.00081407,0.013538436
2CN25,_f42dc6ea-c80d-a791-5b22-aff989b9a563,3.60E-03,0.00256032,0.000997922,0.000997922,0.000997922,0.000997922,125,aluminum,FALSE,ethylenePropyleneRubber,0.00094,0.003795,0,0,0.00759,0.03095,0.02212,0.024,TRUE,0.03095,10,6.40E-04,0.00081407,0.013538436
350CN25,_f03de336-5b6a-d23b-bf5e-272ef17add83,0.0084,0.00938784,0.000236742,0.000236742,0.000236742,0.000236742,317,aluminum,FALSE,ethylenePropyleneRubber,0.001165,0.00786,0,0,0.01572,0.03897,0.03051,0.03284,TRUE,0.03897,25,1.01E-03,0.00081407,0.003667706
350CN35,_d7e08b38-ef35-7499-dee8-dc35775bad25,0.0084,0.00938784,0.000236742,0.000236742,0.000236742,0.000236742,317,aluminum,FALSE,ethylenePropyleneRubber,0.001165,0.00786,0,0,0.01572,0.04489,0.03503,0.03736,TRUE,0.04489,25,1.01E-03,0.00081407,0.003667706
4/0CN15,_ae900a93-1999-f0aa-005f-4bd94559b8e8,0.004295,0.00338328,0.000636905,0.000636905,0.000636905,0.000636905,161,aluminum,FALSE,ethylenePropyleneRubber,0.003505,0.004295,0,0,0.00859,0.02752,0.01869,0.0257,TRUE,0.02752,13,6.40E-04,0.00081407,0.00863706
4/0CN25,_eadb38e8-1497-c354-fad4-9b0672dd3014,0.004295,0.00338328,0.000636905,0.000636905,0.000636905,0.000636905,161,aluminum,FALSE,ethylenePropyleneRubber,0.000445,0.004295,0,0,0.00859,0.03194,0.02311,0.024,TRUE,0.03095,13,6.40E-04,0.00081407,0.00863706
