IdentifiedObject.name,IdentifiedObject.mRID,WireInfo.radius,WireInfo.gmr,WireInfo.rDC20,WireInfo.rAC25,WireInfo.rAC50,WireInfo.rAC75,WireInfo.ratedCurrent,WireInfo.material,WireInfo.insulated,WireInfo.insulationMaterial,WireInfo.insulationThickness,WireInfo.coreRadius,WireInfo.strandCount,WireInfo.coreStrandCount
2STRCU,_1996f15e-8ec6-4fc5-cb87-7fad95364665,0.0037084,0.0074168,0.000521654,0.000521654,0.00059894,0.000660455,230,acsr,FALSE,other,0,0,0,0
Jan-00,_0a386022-f988-75b8-9c0c-cb1230f1498e,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
1/0ACSR,_2d0142be-715f-37a9-e1d2-df1e18493c35,0.0050546,0.001359408,0.000522638,0.000535761,0.000646325,0.00070899,240,acsr,FALSE,other,0,0,0,0
1/0AL,_17e1c681-3ae9-ca1c-f227-6ec6b828f3a7,0.0046736,0.00338328,0.000538058,0.0005479,0.000603675,0.000656168,245,acsr,FALSE,other,0,0,0,0
1/0CU,_64a511f5-fbe6-c140-5cf2-c1eac6ad1943,0.0046736,0.003392424,0.000340511,0.000349211,0.0003896,0.00041489,310,acsr,FALSE,other,0,0,0,0
1/0SOLCU,_29efb85c-ec1b-f7dc-b28a-5e18993186b6,0.0046736,0.003392424,0.000340511,0.000349211,0.0003896,0.00041489,310,acsr,FALSE,other,0,0,0,0
1/0STCU,_8a87cd7b-41df-234f-7046-d9b736a8a5d9,0.0046736,0.003392424,0.000340511,0.000349211,0.0003896,0.00041489,310,acsr,FALSE,other,0,0,0,0
1/0TX,_0091f3da-972a-4191-239e-85b50a0800fb,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
1000CN15,_694fc6e5-4a4e-fbff-6300-c237f4bbc54c,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
1272AAC,_840317ba-9769-a5b0-37be-ec88eadabd68,0.014859,0.01274064,4.46E-05,4.79E-05,5.22E-05,5.68E-05,1135,acsr,FALSE,other,0,0,0,0
1CN15,_727396a1-9bce-9812-4114-bdb8a626d01e,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
1CU,_518838ab-adeb-63c1-d470-76da35c10a4d,0.0041656,0.00298704,0.000429367,0.000438067,0.000488398,0.000488398,270,acsr,FALSE,other,0,0,0,0
1PILC,_12a5b811-9bd2-8950-89f0-bd4feebcb920,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
1STCU,_1b4f7099-e06e-fcfb-2295-6480a8bd4e4a,0.0041656,0.00298704,0.000429367,0.000438067,0.000488398,0.000488398,270,acsr,FALSE,other,0,0,0,0
2,_8d721ec8-4c9d-632f-6f06-7f89cc14862c,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
Feb-00,_6638d0ea-adb1-82f4-7d89-4a1201ff19c1,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
2/0AAC,_b3ecc072-b1b1-f694-d69b-22cc5ec34e82,0.0052578,0.00381,0.000426181,0.000435039,0.00047769,0.000520669,230,acsr,FALSE,other,0,0,0,0
2/0ACSR,_e420f256-93a6-12d7-711a-05ac073cc268,0.0056769,0.00155448,0.000413386,0.000426509,0.000531496,0.000577428,275,acsr,FALSE,other,0,0,0,0
2/0AL,_9e174501-203f-ddb7-48d5-fc8d46b2dfae,0.004775,0.00353568,0.000424869,0.000433727,0.000433727,0.000519357,255,acsr,FALSE,other,0,0,0,0
2/0CU,_6991ab82-1535-5508-107a-eabf4c9589c3,0.0052578,0.00376428,0.000269675,0.000278374,0.000311307,0.000329265,350,acsr,FALSE,other,0,0,0,0
2/0QX,_5a8d4b69-d92b-89c9-8775-3e2fac648d66,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
2/0QXUG,_ef5fe5a7-e235-c929-ebc3-c4e6cfa3fbd9,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
2/0STCU,_78344e05-1080-a42e-91d0-4f90518af7bb,0.0052578,0.00376428,0.000269675,0.000278374,0.000311307,0.000329265,350,acsr,FALSE,other,0,0,0,0
2/0TX,_484ab21c-a532-ed58-0fa7-d83b831c8466,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
2/0TXUG,_02635f97-68bd-7b28-a04d-279dc4383276,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
2/0txug,_30f6bda5-a4e4-5ef5-a5e2-4b2e3f3b1407,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
211ACSR,_dd5791b8-10d4-0df4-00c9-5088d4026708,0.00815,0.00661416,0.000213583,0.000218176,0.000218176,0.000261155,460,acsr,FALSE,other,0,0,0,0
250,_bb82986c-1cac-9370-bd25-041881277658,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
250CU,_b31c1948-6944-3c40-ca1b-e558830d9587,0.00762,0.005797296,0.000144158,0.000147265,0.000159506,0.000175786,540,acsr,FALSE,other,0,0,0,0
266ACSR,_9664b5ec-1dfa-69f9-a1ff-fedd57527d44,0.00815,0.00661416,0.000213583,0.000218176,0.000218176,0.000261155,460,acsr,FALSE,other,0,0,0,0
2A,_d568545f-2b4f-e786-e60f-ac196581d7d0,0.0037084,0.002691384,0.000853764,0.000871162,0.000957533,0.001043904,185,acsr,FALSE,other,0,0,0,0
2ACSR,_86d35508-1234-d4be-ddab-6c66bfeba683,0.0041275,0.001536192,0.000823491,0.000839895,0.000974409,0.001082677,185,acsr,FALSE,other,0,0,0,0
2AL,_46cc989a-2ff6-7966-3768-be52e4194e1b,0.0037084,0.002691384,0.000853764,0.000871162,0.000957533,0.001043904,185,acsr,FALSE,other,0,0,0,0
2AWAC,_08c559b4-2d58-e4fc-74ab-75e6a0fac85c,0.0039243,0.00198059,0.000846929,0.000866813,0.000967475,0.00106938,185,acsr,FALSE,other,0,0,0,0
2CN15,_f164ce18-d6e8-5207-af95-38e9bdd8fbc3,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
2CU,_bdbf720a-914d-adee-69a9-8f2eae8a6d77,0.00327152,0.002548128,0.000539972,0.000548049,0.000586512,0.00064691,0,acsr,FALSE,other,0,0,0,0
2CW,_342600e6-583e-a96e-0803-e9d596f9b976,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
2QX,_3d559e79-5d14-85ca-d5fe-504dfaa4eb26,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
2STCU,_0f77d3af-29a5-7514-f4bc-fa10ac92aa7b,0.0037084,0.002691384,0.000539972,0.000548049,0.00059894,0.000660455,240,acsr,FALSE,other,0,0,0,0
2TX,_13246e6b-95c8-40e0-466a-8a1b50c9a54d,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
2TXUG,_d3fa90a9-03a3-292a-1a45-3545c0a40fd4,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
