ConnectivityNodeContainer,IEEE118,1783D2A8-1204-4781-A0B4-7A73A2FA6038
BaseVoltage,BV_138.00,E2DE96D0-BC3F-4E89-A3CA-224FE2DEB7BC
BaseVoltage,BV_345.00,A8D3FF9B-A3EB-447F-B7FF-252466C34D94
BaseVoltage,BV_13.80,0E5E0C07-13A3-4153-B3A4-4F715E93CC89
ConnectivityNode,1,9DACA2AE-1519-40D8-9311-0E43EC197D9F
ConnectivityNode,2,D0D95A95-9132-491B-8162-C987602E44A7
ConnectivityNode,3,A63A59B5-6788-43CE-BE7D-8175F0943195
ConnectivityNode,4,04FDE56D-22B1-4257-910F-8F009F52510C
ConnectivityNode,5,20D08615-17CB-4193-8BDE-12832D8ACB9A
ConnectivityNode,6,F856BA0D-D9E0-45BF-9EA7-274E722BE6EE
ConnectivityNode,7,4140513E-1569-472C-9353-C45A1BB671E9
ConnectivityNode,8,A173EE68-A826-4C18-8A6C-05F4AB7C5BB1
ConnectivityNode,9,945D6426-22FF-41B2-850C-85644A20559A
ConnectivityNode,10,1730C096-8357-4D62-8DFD-7EEC6D338FC2
ConnectivityNode,11,634C09C4-20EE-4364-8641-442661A46674
ConnectivityNode,12,1E3690F8-BE42-4137-BB07-550BE65F70BC
ConnectivityNode,13,5B7ACFC7-87AD-46A3-AF8B-FFDE3CC2B0A7
ConnectivityNode,14,FAADF0F3-2183-4E49-925A-9383F21EA2F1
ConnectivityNode,15,E9AA7184-6339-42E3-AD47-FB0ED5A0400E
ConnectivityNode,16,C6A88E29-CF88-422B-8651-BA2A10258311
ConnectivityNode,17,00DD061B-CAA0-4FA5-9706-267708F3C11D
ConnectivityNode,18,96CEBF5E-08D5-4568-9C42-663DFE8882A2
ConnectivityNode,19,BD714637-2C75-4649-86A2-5AC8326AC7CB
ConnectivityNode,20,1CB72706-DF69-4512-B42D-B7F79CEBC3DE
ConnectivityNode,21,30D05F3A-9554-40D9-AF39-B8034174605F
ConnectivityNode,22,71C89464-EAA2-40BD-90E8-0B5B0A0416C5
ConnectivityNode,23,FD7CC54B-EADC-4780-BC9C-DACDAA52833E
ConnectivityNode,24,D8E24B40-1A2A-4DDE-A2A1-335D9D19CE3A
ConnectivityNode,25,720EDA9E-4EFA-486A-802E-C4B21080978D
ConnectivityNode,26,4C0BEF7B-98EC-4082-BC1A-81711A491EB4
ConnectivityNode,27,A34AAB28-6904-42E2-9D6F-C2E97DD5A077
ConnectivityNode,28,394530AD-DB1D-486C-B6DB-B084FF07933D
ConnectivityNode,29,9C3C113C-8E80-4625-8940-A9DA4331CC71
ConnectivityNode,30,1EED9D24-973A-4169-A4F9-613594B68119
ConnectivityNode,31,238C7CBA-19EA-41CD-BB12-6E0ED6C2C091
ConnectivityNode,32,C387EA04-7C11-4AF5-A774-46AAEE9CABFC
ConnectivityNode,33,BD56A563-821F-4505-9991-8F96A930F8BA
ConnectivityNode,34,2FB9D543-9047-44A1-9267-521AC22F93AD
ConnectivityNode,35,F1F1D39F-CE34-4B68-8C5C-CFF450443B78
ConnectivityNode,36,DCFF967A-E2BC-4ACF-93C8-6755C92B7F6C
ConnectivityNode,37,0C991E28-4075-4188-82AC-40B15C4C4DED
ConnectivityNode,38,2C2B42D9-AEF7-42E2-AF2F-4BF24389F0C3
ConnectivityNode,39,C6DD62AE-077E-40D9-A90F-251D88D27BDA
ConnectivityNode,40,C7C9341C-8E70-4278-89DA-D2765A07251F
ConnectivityNode,41,FF980FB8-B1E0-48B3-BA67-ED264727A76C
