Circuit.ieee123transactive {503D6E20-F499-4CC7-8051-971E23D0BF79}
Bus.sourcebus {2AF6A35B-6E0C-44AF-9CA8-AFF1B2A5F745}
Bus.rootbus {6CA010A0-D13C-4F9A-AC7D-BD90D4BAF3A0}
Bus.node_150 {740D817C-73B8-444C-BA8A-E38B699690C3}
Bus.cap_c88a {C321ACAA-E35E-4659-AC8A-0934E2D7A130}
Bus.cap_c90b {9910CBEE-0B83-404C-8468-E1E730E602AD}
Bus.cap_c92c {7DDCBEA9-FB37-4515-AAF8-91F71F800A74}
Bus.cap_c83 {CA03FBB4-A32E-4FEE-93B1-2B2FEB95EB32}
Bus.node_97 {2DD14325-0DB8-4126-901D-69B5D324F552}
Bus.node_197 {F8EBD0B5-3276-4B83-B51C-CDF88730ECE1}
Bus.node_60 {F24F98AB-A5D2-48E6-9086-37D71582F7B9}
Bus.node_160 {4C2E844F-0454-40D7-B4F2-86A569B01120}
Bus.node_61 {A71CCC5C-AC19-4DE3-8980-56A2E6474535}
Bus.node_61s {47BF0EDB-A06A-41DE-B737-7442D0971FE6}
Bus.node_150r {35C26BE5-C6F7-4EE0-A262-6EE3978AA726}
Bus.node_149 {E6D8AA9C-BEFA-4D24-B54C-2A7923463B1E}
Bus.node_18 {330DF55E-CC72-4A2D-B658-FE1E144D29FD}
Bus.node_135 {BD130FCA-53E8-459A-AB25-B87BF68E361A}
Bus.node_13 {C83CDB9B-CD29-49D4-A298-6A0484614A06}
Bus.node_152 {1F3DE495-B44F-402D-8AB0-FEFCADB996D2}
Bus.node_50 {77667512-284D-4A59-812E-CD84D11DCB3C}
Bus.node_51 {9BCFF611-3029-4039-8257-8D79838EAFAB}
Bus.node_52 {7072CEF9-5DFC-4049-8BC7-A0C5045C6042}
Bus.node_53 {196B4583-1202-4A1C-A6D2-89ECE72DCBD0}
Bus.node_151 {0EAE62D1-309D-4918-B466-31933E6338A1}
Bus.node_54 {5C01061C-FB07-4E1E-9644-12487008ED64}
Bus.node_55 {6711637E-98E0-4507-BF29-03A5A00BAA97}
Bus.node_56 {7D561DF5-FEB2-4B05-8A78-6F7D308CB775}
Bus.node_57 {54EBAF5B-D586-4917-A5D5-3A75632A9511}
Bus.node_58 {7F8EB69D-E007-443F-9FAB-D453075AE55D}
Bus.node_59 {E1EB5B39-E3D9-42D1-ADBA-57DB5F6EBF4E}
Bus.node_110 {72812FC0-F855-43DB-BC5E-7D46AC619911}
Bus.node_112 {62D768C4-896B-4EFE-8F12-BC407DCCBCD4}
Bus.node_111 {2824C2AE-6E4B-4C3B-A3B6-737FF1A610B4}
Bus.node_113 {9A54EA11-30B5-47D2-AED0-9ACEBB0009CA}
Bus.node_114 {738BF7CB-9FD4-4B44-8BC9-03ED88FFC38A}
Bus.node_1 {1F6319F6-DA19-4837-8165-928DFEF2DC56}
Bus.node_35 {E95160F1-F7BF-4BB8-9305-9A0403FE16A5}
Bus.node_160r {2B1D3D04-0A35-47D3-B162-6A94BA1ED89A}
Bus.node_67 {F1B5A0B6-4FE6-4179-89EF-74D2A584B4B4}
Bus.node_101 {971340AA-9029-4031-951B-ECE0C1F07AB5}
Bus.node_62 {E29147C4-3C35-473C-ACDF-64D6A02499E1}
Bus.node_63 {FDFED7BC-02A8-4807-9ECD-C71FA754713A}
Bus.node_64 {E57D6F5E-2CC0-4950-AE8A-927C0A54599C}
Bus.node_65 {4171977D-3B16-4596-97B4-350DBA607AC8}
Bus.node_66 {5B7A7BAB-D779-4585-A2D2-DB055607A84A}
Bus.node_72 {13EB1D45-AA42-4E77-89D9-EA26D81BB7CA}
Bus.node_68 {782CD670-A591-4631-BD5E-ECBC936B8BB1}
Bus.node_69 {1E114128-DFC7-4687-AF86-10BD7B016E6E}
Bus.node_102 {86D6E416-7E0B-4F3E-B031-E114D7C0392F}
Bus.node_103 {CB68C89F-6225-45BC-91BE-B5C888B1C8F2}
Bus.node_105 {3FD1A198-3523-47C3-AFB6-194BE51F3276}
Bus.node_106 {8728A73B-83C3-4DBF-B1BE-C9A3E43BDCDA}
Bus.node_104 {905D12EA-1CAA-4275-889C-EEC3BA3790B6}
Bus.node_107 {487BC92E-F8AF-4E2B-B5C7-7F0E0BE73FF4}
Bus.node_108 {D7772982-A72C-45E0-A4D0-B0DD10129BA1}
Bus.node_300 {D02CF5D3-C5A5-4CAD-9E26-8D9CC18FBF35}
Bus.node_109 {F17E1BB3-1E92-4B1F-B6B9-DD8C0C7D2F8F}
Bus.node_70 {29E064E3-5C3B-4EAC-93E9-3D9F6DF4ED59}
Bus.node_2 {AF9CFE2F-8708-4DDB-AE2C-2DC2D9EFF04E}
Bus.node_3 {A1A35959-F7E4-456C-935A-64560F9167EF}
Bus.node_73 {5FBE1DB1-31DA-46AD-9632-D84F63CDF282}
Bus.node_7 {DFF482D6-3FF0-4EBF-8E65-2080ADF247DB}
Bus.node_71 {D39E5EC6-F1D0-4F6D-BEC8-89048FB44068}
Bus.node_4 {44E08343-6A9D-4A4E-8C5D-C0B995D9F5E1}
Bus.node_74 {660BA31C-3277-42B0-847D-9649489D63F3}
Bus.node_5 {2C8A50B1-1E2A-43F3-9C72-F12C8C44F46C}
Bus.node_76 {08AF4077-9CDC-4CF0-A485-71FFE8CC851B}
Bus.node_6 {ECF6190D-C57A-4170-A542-84A20C63925A}
Bus.node_77 {4CA7D96F-199D-40EF-922B-DC983155358C}
Bus.node_8 {DE0C8E1E-B0A0-4B1C-9E48-B271B87CA0AD}
Bus.node_75 {C454BF1C-14DD-4C58-B844-E2B461059E5D}
Bus.node_78 {4885195F-B0E6-47AB-A7E5-128067D44283}
Bus.node_12 {4C70FEF9-CFB4-4B16-802F-71C33E598CB1}
Bus.node_86 {A62AC5F5-3E28-4A94-ADAA-7184F9330772}
Bus.node_9 {51B57C83-83AC-4F40-9546-0CD8F7063AE1}
Bus.node_79 {F9D81514-DE1F-4F2A-B1BD-49376E9DAF4C}
Bus.node_80 {1C57FC28-598F-4126-A9D1-9EA000849E6B}
Bus.node_81 {91425A4F-7949-4F25-983F-DF58657F4798}
Bus.node_84 {D4577620-184A-4A31-9B79-7424BC7EB89F}
Bus.node_82 {D86F267C-6034-439F-8056-D30E81E1EBF2}
Bus.node_85 {87C86223-A22A-4E93-B7E5-5AC876485BB3}
Bus.node_83 {DB60F749-E99C-4980-BFE3-109518A6B34C}
Bus.node_87 {D30646DC-8F9A-40E3-A613-BC89B9CF3351}
Bus.node_88 {4F4B84B1-339F-4B32-926F-7E9AF8693526}
Bus.node_89 {2690C06A-CF6F-427B-BA8F-3A38D069A8A4}
Bus.node_90 {BDC40288-7166-4ED1-98DB-95B3EB0DF42B}
Bus.node_91 {0E35206D-0E96-4A5E-B905-59127657EFD9}
Bus.node_93 {485DC88F-43B6-4E34-A810-494894AB6858}
Bus.node_92 {F455EBE3-4900-47CE-A594-EEC0521212F1}
Bus.node_95 {FBDA2EEE-3E3B-479C-AFA9-76322BA19BEF}
Bus.node_94 {A330E321-CC56-40CC-9A5A-371280D99001}
Bus.node_98 {880FF24E-E4BB-446C-82E0-0DBAF9F5EDB4}
Bus.node_96 {A340D0BE-F469-4FD5-BFF8-0E176BFD3B0F}
Bus.node_99 {A81F92A2-CC57-4E15-8585-9D54B9349C9B}
Bus.node_100 {DE16B3FE-42FD-422F-BB47-74F78FCD42EC}
Bus.node_34 {456028B4-BE96-4DD2-9367-F8E82847AD48}
Bus.node_9r {D5D0885A-F6B5-4FFC-B6D7-9F304C7BED74}
Bus.node_14 {6F77B23B-6419-4BA4-92FF-8905DB6CD0FB}
Bus.node_450 {010577C9-60BC-4474-AF15-996339F7B2F1}
Bus.node_11 {4F5880E4-2F54-47DE-AAB4-97433BD69028}
Bus.node_15 {08103401-1FA5-4623-9441-5D20EECB1EC6}
Bus.node_16 {DB7A24BA-494B-4FC9-9DBE-A0EB9AF4E9F5}
Bus.node_10 {645E6AE8-4D87-4CB4-8BF9-03559E908804}
Bus.node_19 {39CD01F3-2655-483A-AC1B-5B8AB3445923}
