Circuit.sourceckt {9CE150A8-8CC5-A0F9-B67E-BBD8C79D3095}
Bus.sourcebus {85B16F06-2B8C-46AA-A574-23DC8EDE49CA}
Bus.rootbus {59876909-212C-461C-A009-3F025542BDB3}
Bus.r2-12-47-2_node_253 {32958007-4331-411E-8F11-77462DBAAF8E}
Bus.r2-12-47-2_cap_1 {57395275-CD99-43A1-A1A1-19E0FF1E3AA8}
Bus.r2-12-47-2_cap_2 {C0BEAC6C-5FC0-4FCA-955B-F64C836F70A1}
Bus.r2-12-47-2_cap_3 {6F917088-EC65-47EE-B79E-C2E6353B7F3D}
Bus.r2-12-47-2_cap_4 {916F6F67-C73A-45E3-8D97-DCEFE4C68EAD}
Bus.r2-12-47-2_node_250 {6408772B-715C-4D23-BA34-D802D5777AB3}
Bus.r2-12-47-2_node_243 {3B6B50E8-B390-4F1E-9F4C-ED1F6261F83E}
Bus.r2-12-47-2_node_24 {5E84248B-9E40-48E1-8A0B-D5DA476A978F}
Bus.r2-12-47-2_node_25 {FC3AEB13-E488-4574-B547-48DBDD2959D5}
Bus.r2-12-47-2_node_28 {3E043734-BF50-4EDD-A5C4-7BECE5476C02}
Bus.r2-12-47-2_node_110 {92F3AEDE-01A0-40FC-9852-5D5828474CFE}
Bus.r2-12-47-2_node_37 {1BB9F57B-1A38-451A-8EAD-B172D582720D}
Bus.r2-12-47-2_node_34 {65E3AFBB-2849-4088-B6FE-D9D5A7795526}
Bus.r2-12-47-2_node_38 {9B86C82D-29D5-4D8A-95B4-C5A35B0E04CC}
Bus.r2-12-47-2_node_2 {A9B3FDCA-5311-4BF9-8591-27DC58FF4FB7}
Bus.r2-12-47-2_node_40 {2EF393B0-CDC5-4D4A-A8AB-5A2E63B6ADB4}
Bus.r2-12-47-2_node_41 {072656DB-CFB1-4EBC-870C-2E16C12C680A}
Bus.r2-12-47-2_node_43 {9A925C07-1EE2-42EB-B181-B7E492323AD4}
Bus.r2-12-47-2_node_218 {68C8E8EB-65D8-4D92-BE8A-15430F00B488}
Bus.r2-12-47-2_node_45 {7FC8E529-F7FA-4F31-A6C7-5EB0A89366CF}
Bus.r2-12-47-2_node_44 {239A438B-4DDF-493A-BCD9-5EC632DD59EF}
Bus.r2-12-47-2_node_95 {C1D2FB79-15DF-4ECA-864E-5FFE44969A2C}
Bus.r2-12-47-2_node_104 {2036B622-5E14-4164-BA2F-CCB0986DC21F}
Bus.r2-12-47-2_node_97 {56AD8113-3924-4BBE-B13A-474C3E34E144}
Bus.r2-12-47-2_node_106 {09D203E0-5D47-4F3D-8E39-AA8934A5F9C3}
Bus.r2-12-47-2_node_184 {786177FE-6CFA-4EFD-AE9C-D617F7939AB3}
Bus.r2-12-47-2_node_71 {3957EBAD-1180-43B2-B307-55F2304334F9}
Bus.r2-12-47-2_node_217 {D54EC073-9FC1-42C6-9066-EE0DC671A05C}
Bus.r2-12-47-2_node_52 {DB3DEF0B-77A5-494A-955E-09A675C1C159}
Bus.r2-12-47-2_node_3 {4C3A9FA1-4003-4F8B-9D15-E89C0BF9880B}
Bus.r2-12-47-2_node_247 {0188BF68-2B43-4B27-B097-C130FB236434}
Bus.r2-12-47-2_node_4 {5AA2EFA4-7F26-4F3C-8CD7-558187924EB9}
Bus.r2-12-47-2_node_236 {65383ABB-22F5-4189-9732-EA8C9B49D5E4}
Bus.r2-12-47-2_node_153 {758C6DA6-B02C-4447-B07D-E4BD0EB1F4E6}
Bus.r2-12-47-2_node_160 {9308C4C1-2DD9-4B64-A21E-1A07243AF590}
Bus.r2-12-47-2_node_124 {CEC65B96-47F0-41F9-9643-AA065B276AE2}
Bus.r2-12-47-2_node_128 {A2F68FB2-BCE5-4A30-B3B5-57CB28ECF5F1}
Bus.r2-12-47-2_node_5 {36DD2DC9-6E71-4F9F-9764-A02D4FA67852}
Bus.r2-12-47-2_node_161 {4EF87A71-3E92-4EA6-8BB1-654A676F9097}
Bus.r2-12-47-2_node_6 {B6B719E5-AAFA-4D39-A958-ED28FD1FE904}
Bus.r2-12-47-2_node_7 {A130696B-F319-4144-A14F-8032295C1BF1}
Bus.r2-12-47-2_node_73 {66F85551-F0E0-4A49-A49C-3BEE46B63994}
Bus.r2-12-47-2_node_10 {78AC37F4-6853-4419-84B7-6FC32437CFDA}
Bus.r2-12-47-2_node_244 {F89CBA58-FEB3-4B85-9C3A-93CCDD64638E}
Bus.r2-12-47-2_node_13 {047E2CD5-8406-4A84-BB68-31D4C3A163EC}
Bus.r2-12-47-2_node_143 {9A31C467-8C81-499D-91E0-2CD0905D2427}
Bus.r2-12-47-2_node_14 {5AE5A24A-46D0-4AFA-989C-B495C36325BB}
Bus.r2-12-47-2_node_117 {811D89D1-624C-42B7-BEE5-673AB40AC379}
Bus.r2-12-47-2_node_15 {E5A16F8E-890F-44FB-AD7F-EEE198FCDD89}
Bus.r2-12-47-2_node_16 {1DAA802F-61D1-4197-ACBE-A641856CA057}
Bus.r2-12-47-2_node_1 {1A737A42-0DDF-43FD-85A4-1D2A1CF7D18D}
Bus.r2-12-47-2_node_18 {CEA95431-A13C-4751-8C29-53435C0CD66C}
Bus.r2-12-47-2_node_221 {ADE3452C-712A-45BE-9328-5A7F5500F357}
Bus.r2-12-47-2_node_19 {73D2CA03-68A6-4B15-A026-4B15420C2F3B}
Bus.r2-12-47-2_node_20 {E601EFEA-1507-4F05-A39B-DD9830FF22B3}
Bus.r2-12-47-2_node_230 {1321FEEC-5412-490D-A3D5-08FC92F15AE8}
Bus.r2-12-47-2_node_21 {60EB5AE6-AD08-490F-BD6E-DA9FD143A033}
Bus.r2-12-47-2_node_61 {50121DF7-3F12-45E3-9361-D00507D3CF8C}
Bus.r2-12-47-2_node_22 {BC9445DE-B910-435C-BECB-A2E6C19D5B1A}
Bus.r2-12-47-2_node_216 {6A2DED92-D8A6-47DE-A21B-442D3A16F09B}
Bus.r2-12-47-2_node_214 {2529ABBA-B85B-47DE-9AF7-BE182F67BDE5}
Bus.r2-12-47-2_node_223 {EA44ACAE-55B4-4B1E-863D-AD946B73A02E}
Bus.r2-12-47-2_node_29 {0B5F1840-D6C9-44A9-85F4-622FCF409DE0}
Bus.r2-12-47-2_node_123 {6F352472-EE88-44C9-8D6F-F8BBF51F9CAD}
Bus.r2-12-47-2_node_186 {22AEAC74-399F-473C-8838-40942A32026C}
Bus.r2-12-47-2_node_198 {38257578-8301-4E64-AA7D-9B0178DE2425}
Bus.r2-12-47-2_node_31 {9AE584C5-14C6-496F-8ACA-A1790F3FEDEE}
Bus.r2-12-47-2_node_84 {AF32DCAF-0FF9-4518-8C09-07D5E4EBC0F2}
Bus.r2-12-47-2_node_112 {3567DDDE-F515-4314-84B4-B1B54DABABC6}
Bus.r2-12-47-2_node_36 {866F2E61-0488-4A70-B858-3B63C3D3275E}
Bus.r2-12-47-2_node_149 {C88098CE-9E68-4071-BCDE-37855862FB39}
Bus.r2-12-47-2_node_39 {BB8F9DC4-31EA-4D5A-A9B7-AA6730C164D8}
