Circuit.ieee13nodecktassets {5B816B93-7A5F-B64C-8460-47C17D6E4B0F}
Bus.sourcebus {E14BD0DF-466D-487B-8786-0D46515D1F9B}
Bus.650 {348C3A23-B2F4-4101-9A6C-AF8DEF97DD4C}
Bus.633 {560E1C31-EE5C-4BFD-A0B6-F4E8D60E2C76}
Bus.634 {09A37A19-DF0E-48F3-92E9-10FA62A08120}
Bus.rg60 {4163D7DE-898A-4241-93E0-F3FC49F1F714}
Bus.671 {249A3E8C-0128-4DE2-92EA-112B44080BF2}
Bus.645 {61D2A727-4D2E-45F9-8A94-C42B38FFF029}
Bus.646 {22B55260-79B0-4DF5-A070-AFEDAFA299D4}
Bus.692 {04006A64-109D-499D-8496-1B55907C1570}
Bus.675 {CB29A4D1-EE08-4AAF-82F6-3C178009EBC0}
Bus.611 {B7E4EF30-D95D-4C8E-829B-F75FB0FDBEAD}
Bus.652 {DFA687CB-83D6-4FD0-8007-657A3E1819F6}
Bus.670 {DC7FBBF3-1456-4B9C-8983-9E3D4FA9D95B}
Bus.632 {3E259C63-39CC-4B6C-9C4A-1B29A5C83840}
Bus.680 {BDCA9F2B-81A8-4969-AE86-B9D5DC399F51}
Bus.684 {7326FB57-9839-4AE6-9F3D-B5660C58A7BA}
Vsource.source {C28BFD4B-C7D1-49AD-BAA6-E06CB0856A72}
Transformer.sub {6BC92BAB-B1C8-49C5-87B3-126BBCDC46D5}
Transformer.xfm1 {73E02C20-7DB0-4825-84C1-E58DB8C296BF}
Transformer.reg1 {16861155-E2D2-4E9C-8FCA-50EA820E96D0}
Transformer.reg2 {BE3F4495-1AC4-4A36-A529-40A6A740F58C}
Transformer.reg3 {2EB647F9-B8F8-4659-9D2D-3515563030EB}
RegControl.reg1 {DADD793B-6F2F-4E4A-8941-F73E44FC5DD2}
RegControl.reg2 {A480E0A9-AD2B-4D8E-9478-71C29F738221}
RegControl.reg3 {D8BC994E-8335-49BE-A1E1-B50BC8A511DD}
Load.671 {819CA18E-54AA-42D5-B069-F1AC831D926E}
Load.634a {928BCF3C-276A-4E74-A4AE-C3C79D624F5F}
Load.634b {958C1DE5-2FA9-4051-8827-8681C4E7AFF6}
Load.634c {6964DE20-CC96-473D-BB0F-73CD8ACAED2D}
Load.645 {F3D41D9D-9606-4277-A336-69D7048301AF}
Load.646 {C9CB60C2-46E0-4FDC-B2A5-73318344E4C9}
Load.692 {8A0CF414-3240-47D1-AB8F-998165BA092E}
Load.675a {EBD2AE36-04A5-4EA9-836F-12F9D3CCB777}
Load.675b {F841F05A-E047-491F-BF7B-C71283C653D6}
Load.675c {46479235-D5D9-4CE8-9F7C-C78426691797}
Load.611 {D186291A-2487-45AE-83C7-651C7C71D41E}
Load.652 {EF316EA5-74D3-4209-89EA-BF8FAAC2BAF6}
Load.670a {F20F52DF-B0B1-4615-B9D3-AC669CE18454}
Load.670b {4FE57842-43D5-4EBB-8FF1-795E6FE1C507}
Load.670c {7E0E4F76-E0FD-4BB5-BB58-BC5B05A5A59A}
Line.650632 {6DEF3353-8276-402F-AC8E-3DEF4A396FFE}
Line.632670 {8A62F620-7C58-4662-AE5C-F41F5E3F0022}
Line.670671 {4774208A-B9AB-4051-8BC9-4F7C8EA6552A}
Line.671680 {603106B5-1DC7-40B1-A264-98774F6FD16D}
Line.632633 {67A2574B-8146-464D-B93C-B9FCBCE913BC}
Line.632645 {A98417B1-4A7F-484F-97C8-9B91F29A26F1}
Line.645646 {173879C4-4FDB-4521-A60D-5B102B3781B2}
Line.692675 {6EBB2188-CBE1-4FEC-9406-83DE8E61F9CB}
Line.671684 {08848DC6-BB11-4647-9C21-475BAD66A8B8}
Line.684611 {8C536493-14B8-41D0-8EE4-CAE4DFF33839}
Line.684652 {E062E187-F149-4555-8E27-2EE0C9D75274}
Line.671692 {4E1B3F09-CB88-4A5E-8198-24490EE7FC58}
Capacitor.cap1 {6A7D7AF8-A0F7-41B6-BB0C-160EAE054DEA}
Capacitor.cap2 {28456F60-7196-47E4-9BE6-54F7EAABC04A}
CapControl.cap1 {BA36AF1C-3948-435B-82A9-E6211715E464}
CapControl.cap2 {BFCECE4C-2251-4FE6-87B6-479CBC9BD850}
WireData.acsr_556_5 {9E92FA6A-53EE-47FD-8FC5-EC66E55D7EF2}
WireData.acsr_4/0 {2BA0CC9E-2AC9-4F3C-9E2B-E6DC3A016896}
WireData.acsr_1/0 {94AF073D-06AF-412D-A64C-D7642DE14F69}
WireData.cu_1/0 {C2736AC3-CC05-4AFC-A9BF-F6B482B22F92}
LineGeometry.601 {516D90DD-274F-4A22-BD8E-44F2845D3B61}
LineGeometry.602 {E804FC3A-4DE8-4497-B83D-EBE8974C791B}
LineGeometry.603 {3B22E834-067C-49EA-A4C0-5AA2E616DCB7}
LineGeometry.604 {6D837E4D-634C-4C07-B8C7-C6377EF1A330}
LineGeometry.605 {6EB40194-417B-4858-B4DB-61F6B69BD42C}
LineGeometry.606 {48A5C17E-B098-446D-B26F-2D1B198ED260}
LineGeometry.607 {42F6BF8A-F301-476D-A18B-7EC0BF7A5DE3}
XfmrCode.subxfmr {6CC707A4-48D8-4303-82B6-280EDA63DF36}
XfmrCode.fdrxfmr {43FFFF8C-EEE5-4E2D-AE08-D246A4F6DFE4}
XfmrCode.regleg {00720672-7F7E-4BE0-BD7D-3D96D5498BF5}
LineSpacing.500 {1F5B5B09-91FB-46D0-ADB0-0589C85405DF}
LineSpacing.505 {EB9831B5-5F92-4D46-B03B-F5389CA0B596}
LineSpacing.510 {7FAE2DF5-CDFB-4268-945E-27EB8AE81220}
TSData.ts_1/0 {9EE93180-5EA6-42FC-8EC5-35B82D4F4D8C}
CNData.cn_250 {5CF2A8A3-B30E-4907-8F88-5B3079AEE87E}
Station=Station=1 {BE485679-5F90-4260-89CD-F012E5D2DF24}
GeoRgn=GeoRgn=1 {7843B682-8C90-4198-A41A-3F1C07789768}
SubGeoRgn=SubGeoRgn=1 {12E07CD5-8375-4543-8A50-73A81A2E2D52}
CIMVer=IEC=1 {7485150B-1A0B-495F-8AFA-A5DAD6787FB2}
CoordSys=Local=1 {5BD3E9E8-AA88-4C7A-B398-036B10519511}
FdrLoc=ieee13nodecktassets=1 {E8CC2D43-FB22-4798-AA57-09F1CDB77C00}
TopoIsland=Island=1 {DC783835-C54B-4F2D-9E7C-A1C877D92781}
OpLimT=NormalAmps=1 {41E9ACEA-11E5-4DDA-AD49-D5DC7AF49016}
OpLimT=EmergencyAmps=1 {906A0546-79E1-4098-96D3-3AF0FFB38ED6}
OpLimT=AHi=1 {AE9B7D81-D5D2-417B-9098-4169FA4E6C29}
OpLimT=ALo=1 {F42B3DB9-7A3F-4689-B1EF-9F34F236023C}
OpLimT=BHi=1 {66CFAA76-575F-4F12-B18E-756F4B332FEA}
OpLimT=BLo=1 {524A8333-46B7-4733-8919-217E0320788C}
BaseV=BaseV_115.0000=1 {1052CFA1-B697-4B95-9F43-7F1C2C01375F}
OpLimV=OpLimV_115.0000=1 {CBC95E75-7976-48A2-86C7-67B4C60A2B2D}
OpLimAHi=BaseV_115.0000=1 {9D2E5706-4EB6-41A2-8C02-80A8AE5D5916}
OpLimALo=BaseV_115.0000=1 {246C62FA-FED3-47A7-B50C-ED257334CAD5}
OpLimBHi=BaseV_115.0000=1 {2954D9FA-57F6-4AAB-A073-263012394B07}
OpLimBLo=BaseV_115.0000=1 {B484A427-4F62-4E61-87B0-7695C63E931E}
BaseV=BaseV_4.1600=1 {3CB8BE1F-37D8-4CC8-88BB-5C0D14D7D7B3}
OpLimV=OpLimV_4.1600=1 {45AC19D3-2E1B-408C-9F30-7562256EB4B1}
OpLimAHi=BaseV_4.1600=1 {FD8CF06D-C15D-45EF-9F25-64D8D12A40DD}
OpLimALo=BaseV_4.1600=1 {B04DBDA5-1D4B-460E-A0A6-597DF43C0444}
OpLimBHi=BaseV_4.1600=1 {758D49C9-8C91-481A-BCED-93E2DBB4CF5D}
OpLimBLo=BaseV_4.1600=1 {32E3B25D-6149-4619-984C-7A7D1B088971}
BaseV=BaseV_0.4800=1 {E636560E-3A55-4D5C-9C4F-153CE4AAA6A8}
OpLimV=OpLimV_0.4800=1 {22EC1EE5-F122-4B23-8628-F4D13DC0B0FF}
OpLimAHi=BaseV_0.4800=1 {01525F18-6E53-4F77-BECA-FCA77CB6BD31}
OpLimALo=BaseV_0.4800=1 {70847561-62FF-4802-AB0F-DCAA4B7EE2A2}
OpLimBHi=BaseV_0.4800=1 {5E6CD4C7-DC84-48FB-8A2B-724FA3CED029}
OpLimBLo=BaseV_0.4800=1 {A75044E2-DAF2-440A-8FA2-AC3827FB1908}
Topo=sourcebus=1 {15B42FDC-9A59-46E9-9591-6D6B7D631DFC}
Topo=650=1 {934CE930-D23D-4F0E-A73D-9BA600910553}
Topo=633=1 {D2357214-2996-4E1A-A736-0F97912337D4}
Topo=634=1 {62CBAA31-3C12-4FD9-9294-22D5CC16DE64}
Topo=rg60=1 {FA1A51D3-C9F5-4E89-AE09-C51B257C1C44}
Topo=671=1 {6A772D92-9250-45BB-AC24-FA6D63930AFB}
Topo=645=1 {775C82DD-9ED1-49C6-AD53-C725B5DC0A67}
