Circuit.ieee13ochre {13AD8E07-3BF9-A4E2-CB8F-C3722F837B62}
Bus.sourcebus {3A0D1F22-9DFA-4F60-88D8-B9C8FCE43B86}
Bus.rootbus {48EC06BC-6E23-4921-AA8C-EC014D2B1263}
Bus.node_650 {58CC5F5F-7D80-4587-9789-B60AD4FB6AA6}
Bus.cap1 {0C87D6C3-0C3B-4721-A06D-8FE584CC951E}
Bus.cap2 {6523AB94-D0DA-483C-8DD4-B8AE5793BEFF}
Bus.node_671 {C5C5F466-E084-44CA-9BBE-025FC940B6FC}
Bus.node_692 {3B75C087-0D6E-4F01-ABCD-2912FCC0E0D0}
Bus.node_632 {76C44486-8F2E-4777-9ECB-EBD12D083E11}
Bus.node_645 {3FA5FA65-BEED-459D-A335-DF360E4BA7D1}
Bus.node_646 {23EE947D-EBE6-49EC-819C-2749B7741E96}
Bus.node_630 {9E125627-6145-46E4-94AB-E0ACEFE43F52}
Bus.node_6321 {98220C57-B486-4721-9AD7-6F172346F44B}
Bus.node_680 {B8901451-7DE2-4FA9-8FD4-EBB6B3D04899}
Bus.node_684 {40E7244E-8FFB-445D-8353-DE93734BF94C}
Bus.node_611 {279EDDF7-0CB6-45BB-A920-CEF3D1CB2CCD}
Bus.node_633 {F143B7E8-5897-4E2C-B212-8E59D1259DA6}
Bus.node_652 {D69027A6-4FE7-46DB-A66A-4CBAD6BC34B5}
Bus.node_675 {78294BAA-7EDE-40D7-8922-9AC23B04A547}
Bus.trip_node1 {8ADBB4FC-A872-485B-B2E9-8E5961476CB4}
Bus.tl_house_1 {C1D66C85-F7FB-44A4-96B4-BEB7563B4A2F}
Bus.trip_node2 {3088D0DB-070B-41E0-ADDD-E7FE82A13732}
Bus.tl_house_2 {0381C8D9-FAD2-48BA-898A-F2CFD64F03BA}
Bus.trip_node3 {FAF213FF-CE3F-4821-8ACD-2FA4F7A5AED4}
Bus.tl_house_3 {22D0FD54-5DD8-4EDA-B3DA-F1BFE211F399}
Bus.trip_node4 {72AF18B5-8DD8-40EB-A1DA-515AFB0892B3}
Bus.tl_house_4 {FAAA0906-7761-4956-B78A-EB93C7E58BE7}
Bus.trip_node5 {290F80A3-F117-45CD-BDA6-5882A7EFB8AF}
Bus.tl_house_5 {D1BD712B-DB5A-4FE8-97D1-ED88C2E1B7F6}
Bus.trip_node6 {2AF552C3-5F1F-4407-8470-B4FAFEFFF221}
Bus.tl_house_6 {99685F56-0A78-45EA-98AD-FC9DC07B5574}
Bus.trip_node7 {4AE29662-7F7F-4DB8-B1F5-D3C20DDA6FED}
Bus.tl_house_7 {23AEB30F-4D19-44E8-B71F-CBEED0015C37}
Bus.trip_node8 {EF7D6A7D-D567-4BC2-BE04-3E2B69486D57}
Bus.tl_house_8 {19888562-2C66-4095-80FF-5FDABBB7DDE9}
Bus.trip_node9 {B0F9FAC6-C024-4AB2-A20C-07676C985987}
Bus.tl_house_9 {DB0301ED-D96C-412B-93A4-B3C45FF0EBC9}
Bus.trip_node10 {83B017D0-A3DD-434E-8F82-3BF3B1D476CA}
Bus.tl_house_10 {9E3739EE-63E7-456F-99B5-0862CBC140A3}
Bus.trip_node11 {800322B3-DC0C-4373-9A87-1A6FD1AFC222}
