Circuit.ieee8500 {4F76A5F9-271D-9EB8-5E31-AA362D86F2C3}
Bus.sourcebus {991B8337-D7FE-40E4-B520-9073A52BFCA6}
Bus._hvmv_sub_lsb {67367832-2BDC-413F-818F-7413E492EF41}
Bus.hvmv_sub_48332 {24108E52-8E62-4F0E-A22A-2060A9219E74}
Bus.m1009763 {88E8D626-A8F0-4355-ADA4-C74865817F90}
Bus.l2673322 {A84B55D0-C0D0-4FC0-8F70-886B2A643BF6}
Bus.m1069148 {ED881809-0DB7-4538-8DEB-E8A635AF9ABB}
Bus.l2673309 {35FF0673-929D-4DCE-BB66-7A9D1E1E7DF2}
Bus.m1069588 {39590924-88EC-4074-A52B-90D4BD6E63A2}
Bus.l2804270 {7C608347-3CF4-4F6E-BBD9-A9763953A291}
Bus.m3036164 {9D8F9F4D-0203-48BF-9971-E924A3DF3866}
Bus.l2935553 {54C4A3DB-B058-40C0-A97A-DD96986BFC15}
Bus.m1209749 {C32D7EA8-5A31-45FD-B942-F04050C3E0DC}
Bus.l2748840 {A02CC57B-9BF0-4B5B-B1B0-12663CECE413}
Bus.m1108264 {A7027226-6BEF-46F4-B90B-33E18EE3A470}
Bus.m1108263 {40D26E95-60A6-4F75-B73D-18A524416800}
Bus.l3085398 {611CDC5C-4F17-43F1-B478-260BBE2F77C4}
Bus.m1026891 {8FFE76E7-96B2-443B-BAE5-0C0B4C3593A3}
Bus.l3216367 {50DAAC61-50EE-451D-A621-87448B01BE43}
Bus.m1069468 {972EBC09-F4E7-4D3E-B991-6129ACCC59BE}
Bus.m1142800 {7ABB8489-67FF-4DCF-A0A1-CDCD7AA45712}
Bus.m1142799 {0EDEF714-9EA4-498B-BF33-FF821AE38C4B}
Bus.m1047592 {7F216BD5-4558-4E03-A152-0F6E986AD309}
Bus.p827512 {46EA069B-F08C-4945-9C08-8F7CABECCF5C}
Bus.m1047339 {4F1CD294-DC15-4609-9457-38ACB4BC4D95}
Bus.p895104 {373BF2D0-D996-4811-9E71-2FCAEB5D1F62}
Bus.m1026915 {57103979-7C7C-4DB3-B914-6C03C71AC96A}
Bus.m1026920 {2052CBE3-109A-4AB8-98BA-0ACDB0FB7C13}
Bus.n1138596 {CAB47A9B-FF7D-44A4-8BA0-0195CD7926D4}
Bus.l3254207 {8B63A648-0FA0-4BA6-84DB-C5F6AB165CFC}
Bus.m1069464 {576A417D-B28B-4247-AD2F-616FB978839F}
Bus.p873787 {B78F2B6A-774E-40A9-B243-9D770D2AA227}
Bus.n1144665 {0845005B-5897-40B6-A72B-085DF368EE36}
Bus.m1047515 {110D24EA-8439-4B50-8C85-F0885CEDF9F6}
Bus.n1137002 {1380111D-3408-4267-9753-F8D07CA17221}
Bus.m1047707 {F36609F4-645B-4408-BBAF-2523B1ACC07A}
Bus.l2729406 {96937876-4D1F-410E-8FFD-028281BB4776}
Bus.l2897768 {2697930F-68D6-476D-A7DA-769DDA7C7527}
Bus.l3649301 {288F999D-D35F-4B03-ABD9-ABFC56996C97}
Bus.l3649302 {84C8468D-D2C1-41FA-A469-BD5077157309}
Bus.l2970842 {2DC4DA22-86A6-4D01-A9E8-A8FD00E21FA6}
Bus.m1089113 {F82DD59F-9A52-42BA-8483-D0C3CAF1293A}
Bus.m1047312 {0E83E6A0-99E4-4BE6-918A-C0DEDA2055E7}
Bus.p893163 {9163C2D4-38FD-4886-ABB4-3DFAEF25B358}
Bus.l2822871 {5A9C0F56-EC3D-4A2E-B612-BE7124E3048B}
Bus.m1026872 {F0679BDD-2330-4ECA-889D-A7DF0E328E4F}
Bus.m1026312 {382C7D07-5DD3-46F0-9BFF-E715BFC6AF59}
Bus.l2973163 {6825FF20-0C54-42DF-976E-68A5637C3D3B}
Bus.l3728038 {17FBC639-6320-49B2-BE5A-73D60756B64F}
Bus.l3728039 {FA549A12-2882-44F0-95AB-24F40452109B}
Bus.m1069567 {0B9CF08A-6CF6-4C27-8AF8-912ACC379641}
Bus.m1069582 {C854CA16-C1E8-46BE-98F8-16E825899107}
Bus.n1140830 {27FDF2C9-3CC2-46F3-A4B2-0B254912873B}
Bus.l3216351 {85B5D325-8E40-408A-B9A0-CB4FD5905A68}
Bus.l2952007 {D12F17ED-2D5C-4750-9D30-C216A568EE0D}
Bus.l2861158 {A43DE8EE-E78F-4067-8CC1-743E73B65AA5}
Bus.n1140827 {9565F1E5-CFD2-457C-809E-B2769F1F51D2}
Bus.m1026726 {AFC9A24F-A0C3-475E-9A01-A3D21286DC80}
Bus.l2730106 {82FCD6D2-8392-4EE7-93E8-F02470F0EDFB}
Bus.n1142099 {318C95D8-9976-44FA-97D4-EF2CE9E7C670}
Bus.m1026658 {DEC0CADE-23E5-47A1-B0BC-E7D46930B957}
Bus.l3172805 {B7C9CD52-3533-4FEC-A227-B12E8BF91BE4}
Bus.p895112 {F07DC6F0-C2C8-45BC-A37C-005E1A18DAD8}
Bus.l3048962 {AFC08476-2B71-4DE7-9B09-5D303E5220CB}
Bus.l2991914 {46E4A5A3-B1EE-4262-80DD-CD2EB4561015}
Bus.m1047503 {E59B349F-6CF4-40E6-8054-14E0F18857BB}
Bus.m1047751 {18D05923-9CA3-4A40-BF9B-1996E01B3C43}
Bus.l2973154 {8AFDDB4A-8197-4A95-A4A9-6EC7B76E710A}
Bus.l3010565 {AC12C2AE-916C-45AC-9A5A-D9F5CB8AA9CF}
Bus.l2897775 {5AE101DE-819C-4737-A1AB-6D5503D86E1E}
Bus.m1125955 {99F87B70-9E9D-4AE9-AF95-F7AF003B1A0F}
Bus.m1125957 {BE801D3B-7D00-497D-9708-CA3CD6BAE626}
Bus.m1069640 {DA24E09E-AC4B-4FAE-BF4F-82EFC178CD74}
Bus.l2804269 {B9E53E12-DAEC-442E-8303-3FCF341C5186}
Bus.m1026702 {1D38AA53-99CE-4FF0-A47B-FDD37DE822B2}
Bus.n1139551 {3FE0C37D-1892-4EAF-8518-7FA762527D01}
Bus.n1136355 {D6B6CC94-8B34-4334-A47F-D1A2CCAFBC1C}
Bus.l2783231 {AF180E56-80CF-4037-BF64-D62BD827A9AC}
Bus.l2748143 {81B1EA98-8FE2-4717-B580-84991E81B01E}
Bus.l3251854 {6593D629-3567-451D-97AC-FD6F4F075CB1}
Bus.m1069610 {0F33FC28-1A50-49E5-958B-C9FB62A443DB}
Bus.m1069600 {B6C3A808-B079-4209-8776-DA8CB0DABEBC}
Bus.m1069424 {18BB7111-5C80-4F49-9AC7-E681E4318AD8}
Bus.l2935549 {275F2BFD-DC0E-43F5-BDF1-61EA4A4EDE71}
Bus.p895089 {CB5685C3-F3B2-48DC-9468-A6056BE831C2}
Bus.l3235242 {D550390C-AB3A-49D1-92AD-C4FA5488881E}
Bus.m1026795 {DFC1E7AF-E848-4A42-8149-CFD6049E8829}
Bus.n1140522 {CBCCCE9C-FCF2-4794-8988-FD9A74A0A109}
Bus.l3030199 {C373C063-560B-4AE1-B41F-0D81837065CA}
Bus.m1125934 {D7626B4A-7D31-4190-B528-B423C3471789}
Bus.m1069189 {34EF3E95-D731-4ECB-9B33-8FD00A287CAC}
Bus.l2860487 {51E62B09-F941-43A5-95F0-D95EA8205838}
Bus.221-312488 {7A228D24-48F0-4C2D-B779-38935AC2A84C}
Bus.m1089183 {CF910969-E4A9-4174-86D9-FFC3B7334F1A}
Bus.m1108464 {3C52C611-6A8A-4D81-BA15-BE6DC1C68D48}
Bus.l3102286 {FB4986CB-F0E6-4F4F-BCBB-B3A77576FC3C}
Bus.f739845 {5B7C68D4-A6A6-407E-8004-2C66BF002A46}
Bus.293471 {F2B50EC5-803A-4F6C-8B34-C636EAB394E6}
Bus.p827499 {D2A9CF51-D053-4C31-93BF-24BE89FE68D9}
Bus.n1139254 {047068DC-54B8-43C1-90CD-7D26DC7CDE8C}
Bus.m1026657 {932CABBC-D51D-4FFF-88CC-7458FBE837D7}
Bus.m1026656 {D653F2DE-FC68-4E25-8305-87F8F88A4A19}
Bus.m1108299 {347C1547-E88D-44AC-BB5A-FCE10A5BE152}
Bus.m1108300 {5950114F-739D-42BF-BC75-AF7B6023F814}
Bus.l3198355 {2E09D8B4-32FC-4EA7-ABF5-20044F694E7C}
Bus.l2805037 {C6DC1815-34C5-491A-9441-D157C69A5F23}
Bus.n1137994 {A3247105-8638-48E6-ABCD-531D22A79C1A}
Bus.m1069484 {6A951F22-5F88-4F81-8372-0A64C689EE59}
Bus.l2860504 {3E0EC3BF-BED2-4880-BA21-AE9873F7630F}
Bus.l2860493 {1F5BC0DD-6D7D-4517-B66C-46EDF77F4C03}
Bus.m1026783 {CCE2979F-A43A-44F9-9473-4F8BEF516ACC}
Bus.m1026780 {CC93FE7A-1D34-4755-9C4D-FC6E401A6A29}
Bus.p895111 {F19C91B1-9BEB-4835-B802-D44C129BD6EF}
Bus.l2895496 {C14EB5E4-F71A-4BCA-AB13-1DF6F4A0B47E}
Bus.n1140819 {C4EB2C9B-0D71-49B1-8B20-BA1A1DBCA1D9}
Bus.m1026700 {D4F6252D-8651-44B6-9EED-5B34738A580A}
Bus.m1089173 {7FC1625D-2FA8-454D-B3C9-47F26F206A60}
Bus.l2935551 {6BF75015-49E2-4F8F-9DAB-7BB4B33CDAD9}
Bus.m1026344 {BD85B9FC-695D-4EC5-A6C7-E35C6551800A}
Bus.m1026364 {BFEEBCA9-CD61-4352-A86D-C8E164A30355}
Bus.l2879070 {964DA99B-BEA8-4C65-99AC-DC2822060870}
Bus.l3216345 {3FE98E9E-AD2E-4DD2-ACAD-A72BD8EDFE17}
Bus.m1069428 {F2012FD5-DBD2-43D7-BCA3-4EED1A541A0C}
Bus.n1139257 {33535862-4119-4B61-9043-D52ADF7BC8F0}
